replayFrom,channelName,TotalDelivered
1006711,/event/OutboundCase__e,127
1006711,/event/OutboundEmail__e,1059
1009951,/event/OutboundEmail__e,675
1013315,/event/OutboundEmail__e,85
1009951,/event/OutboundCase__e,0
1016694,/event/OutboundEmail__e,0
1017056,/event/OutboundEmail__e,0
1008351,/event/OutboundCase__e,4
1015969,/event/OutboundEmail__e,0
1016544,/event/OutboundEmail__e,0
1015452,/event/OutboundEmail__e,0
1016504,/event/OutboundEmail__e,0
1017050,/event/OutboundEmail__e,0
1015997,/event/OutboundEmail__e,0
1017068,/event/OutboundEmail__e,0
1015958,/event/OutboundEmail__e,0
1017079,/event/OutboundEmail__e,0
1015987,/event/OutboundEmail__e,0
1016532,/event/OutboundEmail__e,0
1015998,/event/OutboundEmail__e,0
1016520,/event/OutboundEmail__e,0
1017158,/event/OutboundEmail__e,7
1017235,/event/OutboundEmail__e,7
1017249,/event/OutboundEmail__e,7
1017283,/event/OutboundEmail__e,7
1017290,/event/OutboundEmail__e,7
1017339,/event/OutboundEmail__e,7
1017340,/event/OutboundEmail__e,7
1017384,/event/OutboundEmail__e,7
1017402,/event/OutboundEmail__e,7
1017408,/event/OutboundEmail__e,7
1017412,/event/OutboundEmail__e,7
1017419,/event/OutboundEmail__e,7
1017452,/event/OutboundEmail__e,7
1017456,/event/OutboundEmail__e,7
1017467,/event/OutboundEmail__e,7
1017475,/event/OutboundEmail__e,7
1017494,/event/OutboundEmail__e,7
1017524,/event/OutboundEmail__e,7
1017539,/event/OutboundEmail__e,7
1017576,/event/OutboundEmail__e,7
1017583,/event/OutboundEmail__e,7
1017759,/event/OutboundEmail__e,7
1017769,/event/OutboundEmail__e,7
1017777,/event/OutboundEmail__e,7
1017818,/event/OutboundEmail__e,7
1017828,/event/OutboundEmail__e,7
1017836,/event/OutboundEmail__e,7
1017839,/event/OutboundEmail__e,7
1017849,/event/OutboundEmail__e,7
1017859,/event/OutboundEmail__e,7
1017882,/event/OutboundEmail__e,7
1017891,/event/OutboundEmail__e,7
1017903,/event/OutboundEmail__e,7
1017918,/event/OutboundEmail__e,7
1017923,/event/OutboundEmail__e,7
1017939,/event/OutboundEmail__e,7
1017947,/event/OutboundEmail__e,7
1017966,/event/OutboundEmail__e,7
1017998,/event/OutboundEmail__e,7
1018067,/event/OutboundEmail__e,7
1018081,/event/OutboundEmail__e,7
1018083,/event/OutboundEmail__e,7
1018088,/event/OutboundEmail__e,7
1018096,/event/OutboundEmail__e,7
1018099,/event/OutboundEmail__e,7
1018104,/event/OutboundEmail__e,7
1018113,/event/OutboundEmail__e,7
1018119,/event/OutboundEmail__e,7
1018124,/event/OutboundEmail__e,7
1018132,/event/OutboundEmail__e,7
1018137,/event/OutboundEmail__e,7
1018146,/event/OutboundEmail__e,7
1018152,/event/OutboundEmail__e,7
1018157,/event/OutboundEmail__e,7
1018164,/event/OutboundEmail__e,7
1018168,/event/OutboundEmail__e,7
1018173,/event/OutboundEmail__e,7
1018178,/event/OutboundEmail__e,7
1018184,/event/OutboundEmail__e,7
1018188,/event/OutboundEmail__e,7
1018191,/event/OutboundEmail__e,7
1018199,/event/OutboundEmail__e,7
1018205,/event/OutboundEmail__e,7
1018214,/event/OutboundEmail__e,7
1018216,/event/OutboundEmail__e,7
1018233,/event/OutboundEmail__e,7
1018247,/event/OutboundEmail__e,7
1018265,/event/OutboundEmail__e,7
1018471,/event/OutboundEmail__e,7
1018483,/event/OutboundEmail__e,7
1018498,/event/OutboundEmail__e,7
1018514,/event/OutboundEmail__e,7
1018518,/event/OutboundEmail__e,7
1018564,/event/OutboundEmail__e,7
1018616,/event/OutboundEmail__e,7
