Row Labels,Count of replayFrom,Sum of count,Sum of TotalDelivered,Sum of TotalEvents
/event/EaasEvent,5,10,10,10
1169006,1,2,2,2
1169160,1,2,2,2
1169635,1,2,2,2
1169664,1,2,2,2
1169724,1,2,2,2
/event/OutboundCase__e,632,7021,44761,44761
1000074,1,3,12,12
1000093,1,3,1248,1248
1001345,1,3,204,204
1001401,1,2,4,4
1001407,1,2,4,4
1001409,1,2,4,4
1001418,1,2,4,4
1001427,1,2,4,4
1001429,1,2,2,2
1001430,1,5,4408,4408
1001432,1,2,2,2
1001433,1,2,4,4
1001435,1,2,2,2
1001436,1,2,4,4
1001440,1,2,2,2
1001444,1,2,2,2
1001446,1,2,4,4
1001450,1,3,3,3
1001451,1,10,20,20
1001453,1,9,18,18
1001454,1,8,16,16
1001456,1,16,906,906
1001457,1,6,271,271
1001458,1,452,26082,26082
1001499,1,161,4025,4025
1001524,1,6,6,6
1001720,1,2,4,4
1001722,1,2,2,2
1001723,1,2,2,2
1001724,1,2,4,4
1001728,1,2,2,2
1001730,1,2,2,2
1001733,1,2,4,4
1001736,1,2,2,2
1001737,1,2,2,2
1001741,1,2,2,2
1001743,1,2,2,2
1001744,1,2,2,2
1001746,1,2,2,2
1001747,1,2,2,2
1001748,1,2,2,2
1001749,1,2,2,2
1001750,1,2,2,2
1001752,1,2,2,2
1001754,1,2,2,2
1001756,1,2,4,4
1001759,1,2,4,4
1001761,1,2,2,2
1001764,1,2,2,2
1001766,1,2,2,2
1001768,1,2,4,4
1001771,1,2,4,4
1001776,1,2,2,2
1001778,1,2,2,2
1001781,1,2,2,2
1001783,1,2,2,2
1001786,1,2,6,6
1001792,1,2,2,2
1001795,1,2,4,4
1001798,1,2,2,2
1001800,1,2,2,2
1001801,1,2,2,2
1001804,1,2,2,2
1001806,1,2,2,2
1001809,1,2,2,2
1001811,1,2,2,2
1001812,1,2,2,2
1001814,1,2,4,4
1001816,1,2,4,4
1001819,1,2,2,2
1001821,1,2,2,2
1001822,1,2,2,2
1001823,1,2,2,2
1001825,1,2,4,4
1001827,1,2,2,2
1001830,1,2,4,4
1001832,1,2,2,2
1001834,1,2,2,2
1001837,1,2,2,2
1001838,1,2,2,2
1001840,1,2,4,4
1001843,1,2,2,2
1001845,1,2,2,2
1001846,1,2,2,2
1001847,1,2,2,2
1001849,1,2,4,4
1001852,1,2,2,2
1001854,1,2,2,2
1001860,1,2,2,2
1001862,1,2,2,2
1001863,1,2,4,4
1001865,1,2,4,4
1001869,1,2,2,2
1001870,1,2,2,2
1001871,1,2,2,2
1001872,1,2,2,2
1001874,1,2,2,2
1001875,1,2,3,3
1001877,1,2,4,4
1001881,1,3,3,3
1001882,1,2,2,2
1001884,1,2,2,2
1001885,1,2,2,2
1001891,1,2,2,2
1001892,1,2,4,4
1001895,1,2,2,2
1001898,1,2,2,2
1001903,1,2,4,4
1001905,1,2,2,2
1001907,1,2,2,2
1001909,1,2,2,2
1001910,1,2,4,4
1001912,1,2,4,4
1001914,1,2,2,2
1001915,1,2,4,4
1001917,1,2,2,2
1001918,1,2,4,4
1001920,1,2,2,2
1001922,1,2,2,2
1001926,1,2,2,2
1001933,1,2,2,2
1001934,1,2,4,4
1001937,1,2,2,2
1001939,1,2,2,2
1001943,1,2,4,4
1001952,1,2,2,2
1001953,1,2,2,2
1001954,1,3,3,3
1001955,1,3,3,3
1001956,1,2,2,2
1001958,1,2,2,2
1001959,1,2,2,2
1001963,1,3,3,3
1001964,1,2,4,4
1001967,1,2,4,4
1001969,1,2,2,2
1001971,1,2,4,4
1001973,1,2,2,2
1001976,1,2,4,4
1001980,1,2,4,4
1001982,1,2,2,2
1001984,1,2,2,2
1001985,1,2,2,2
1001987,1,2,2,2
1001989,1,2,4,4
1001991,1,2,4,4
1001995,1,2,2,2
1001996,1,2,4,4
1001998,1,2,4,4
1002000,1,2,4,4
1002002,1,2,4,4
1002005,1,2,2,2
1002009,1,2,4,4
1002011,1,2,2,2
1002015,1,2,4,4
1002017,1,2,4,4
1002019,1,2,4,4
1002021,1,2,2,2
1002023,1,2,2,2
1002024,1,2,4,4
1002026,1,2,4,4
1002028,1,2,2,2
1002029,1,2,2,2
1002031,1,2,6,6
1002034,1,2,4,4
1002037,1,2,2,2
1002038,1,2,2,2
1002040,1,2,4,4
1002042,1,2,4,4
1002044,1,2,2,2
1002045,1,2,4,4
1002047,1,2,2,2
1002048,1,2,4,4
1002051,1,2,2,2
1002053,1,2,2,2
1002054,1,2,6,6
1002058,1,2,2,2
1002059,1,2,4,4
1002061,1,2,2,2
1002062,1,2,2,2
1002063,1,2,4,4
1002066,1,2,4,4
1002068,1,2,4,4
1002071,1,2,2,2
1002072,1,2,4,4
1002074,1,2,2,2
1002076,1,2,2,2
1002080,1,2,6,6
1002084,1,2,2,2
1002085,1,2,2,2
1002086,1,2,2,2
1002087,1,2,2,2
1002088,1,2,4,4
1002091,1,2,4,4
1002094,1,2,2,2
1002095,1,2,4,4
1002097,1,2,2,2
1002100,1,2,4,4
1002102,1,2,2,2
1002103,1,2,4,4
1002109,1,2,2,2
1002110,1,2,2,2
1002111,1,2,2,2
1002112,1,2,2,2
1002116,1,2,2,2
1002117,1,2,2,2
1002118,1,2,2,2
1002121,1,2,2,2
1002124,1,2,4,4
1002126,1,2,2,2
1002128,1,2,4,4
1002132,1,2,2,2
1002133,1,2,2,2
1002134,1,2,2,2
1002136,1,2,4,4
1002138,1,2,4,4
1002140,1,2,2,2
1002142,1,2,4,4
1002144,1,2,4,4
1002146,1,2,2,2
1002148,1,2,2,2
1002149,1,2,4,4
1002151,1,2,2,2
